Customer ID,Student ID,Test Id,Subject,Test Level,Raw Score,Percent Correct,RIT Score,Hewitt Percentile,National Percentile,Overall Rank,First Goal Rank,Second Goal Rank,Third Goal Rank,Fourth Goal Rank,Fifth Goal Rank,Sixth Goal Rank,Seventh Goal Rank,Responses,Held
119656,1,43450,L,22,57,95,208,79,86,HI,HI,HI,AV,AV,AV,AV,NA,some response,XX
119656,1,43450,M,32,44,92,201,69,92,HI,HI,HI,LO,AV,AV,AV,HI,some response,XX
119656,1,43450,R,2,43,98,210,69,84,HI,AV,AV,AV,AV,NA,NA,NA,some response,XX
119656,1,47470,L,23,57,95,216,79,93,HI,HI,AV,HI,HI,AV,AV,NA,some response,XX
119656,1,47470,M,33,47,98,224,96,99,VH,HI,HI,AV,AV,AV,HI,HI,some response,XX
119656,1,47470,R,4,43,98,232,95,99,VH,HI,HI,AV,HI,NA,NA,NA,some response,XX
119656,1,54057,L,24,55,92,219,73,92,HI,HI,HI,AV,HI,AV,HI,NA,some response,XX
119656,1,54057,M,34,46,96,225,84,98,VH,HI,HI,AV,AV,AV,HI,HI,some response,XX
119656,1,54057,R,5,43,98,242,99,99,VH,HI,HI,HI,HI,NA,NA,NA,some response,XX
119656,1,59147,L,26,53,88,231,90,97,HI,HI,HI,HI,HI,AV,HI,NA,some response,XX
119656,1,59147,M,36,46,96,246,97,99,VH,HI,HI,HI,HI,HI,HI,HI,some response,XX
119656,1,59147,R,7,37,84,237,96,99,VH,HI,HI,HI,HI,NA,NA,NA,some response,XX
119656,1,62868,L,27,47,78,231,79,95,HI,HI,AV,HI,AV,NA,HI,NA,some response,XX
119656,1,62868,M,17,42,81,236,84,96,HI,HI,HI,HI,HI,HI,AV,HI,some response,XX
119656,1,62868,R,8,30,68,237,88,97,HI,HI,HI,HI,HI,NA,NA,NA,some response,XX
119660,1,45799,L,25,35,58,204,54,73,HA,AV,HI,HI,AV,NA,AV,NA,some response,XX
119660,1,45799,M,33,35,73,192,24,46,AV,AV,AV,LO,LO,AV,AV,AV,some response,XX
119660,1,45799,R,5,22,50,199,31,54,AV,AV,AV,AV,AV,NA,NA,NA,some response,XX
119660,1,51418,L,25,54,90,225,86,97,HI,HI,HI,HI,HI,NA,HI,NA,some response,XX
119660,1,51418,M,34,39,81,206,31,62,AV,AV,AV,AV,AV,AV,AV,AV,some response,XX
119660,1,51418,R,5,31,70,209,31,73,HA,AV,AV,AV,AV,NA,NA,NA,some response,XX
119660,1,57118,L,26,48,80,224,82,90,HI,AV,HI,HI,HI,AV,AV,NA,some response,XX
119660,1,57118,M,36,41,85,231,84,98,VH,HI,HI,HI,HI,HI,HI,HI,some response,XX
119660,1,57118,R,6,29,66,216,46,84,HI,AV,AV,HI,AV,NA,NA,NA,some response,XX
119660,1,62705,L,27,41,68,225,58,84,HI,AV,HI,HI,HI,NA,AV,NA,some response,XX
119660,1,62705,M,37,39,78,234,79,95,HI,HI,HI,HI,AV,HI,AV,HI,some response,XX
119660,1,62705,R,7,31,70,228,62,90,HI,AV,HI,HI,HI,NA,NA,NA,some response,XX
119660,1,68121,L,28,33,55,226,46,82,HA,AV,AV,HI,AV,NA,AV,NA,some response,XX
119660,1,68121,M,18,27,57,233,54,86,HI,HI,AV,AV,HI,HI,LO,HI,some response,XX
119660,1,68121,R,8,24,55,230,54,88,HI,AV,HI,AV,AV,NA,NA,NA,some response,XX
119660,1,74003,L,29,31,52,230,58,82,HA,AV,AV,HI,AV,NA,HI,NA,some response,XX
119660,1,74003,M,19,16,36,235,50,84,HI,AV,AV,AV,HI,HI,HI,HI,some response,XX
119660,1,74003,R,8,29,66,236,69,90,HI,HI,AV,HI,HI,NA,NA,NA,some response,XX
119660,2,51417,L,25,47,78,215,76,92,HI,HI,HI,HI,AV,NA,HI,NA,some response,XX
119660,2,51417,M,33,45,94,212,73,96,HI,HI,AV,HI,AV,AV,AV,HI,some response,XX
119660,2,51417,R,3,44,100,230,92,99,VH,HI,HI,AV,HI,NA,NA,NA,some response,XX
119660,2,57117,L,26,43,72,219,82,93,HI,AV,HI,HI,AV,AV,HI,NA,some response,XX
119660,2,57117,M,36,33,69,219,76,96,HI,HI,HI,HI,HI,HI,HI,HI,some response,XX
119660,2,57117,R,6,28,64,215,62,88,HI,AV,HI,HI,AV,NA,NA,NA,some response,XX
119660,2,62706,L,27,36,60,221,62,84,HI,AV,HI,AV,HI,NA,AV,NA,some response,XX
119660,2,62706,M,37,40,80,236,86,99,VH,HI,HI,HI,AV,HI,HI,HI,some response,XX
119660,2,62706,R,7,31,70,228,79,96,HI,HI,HI,HI,HI,NA,NA,NA,some response,XX
119660,2,68122,L,28,39,65,230,76,93,HI,HI,HI,HI,HI,NA,AV,NA,some response,XX
119660,2,68122,M,18,32,68,238,86,97,HI,HI,HI,HI,HI,HI,AV,HI,some response,XX
119660,2,68122,R,8,24,55,230,69,93,HI,HI,HI,HI,HI,NA,NA,NA,some response,XX
119660,2,74004,L,29,38,63,236,84,98,VH,HI,HI,HI,HI,NA,AV,NA,some response,XX
